epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.4141,2.58886,3.168,2.85064,0.89163,0.56283,0.81786,0.41274,1.48791,1.89004,1.76311,0.0702158,0.00330935,0.00330935
2,92.2659,1.69564,1.58066,1.73303,0.60794,0.66667,0.68897,0.31865,1.57388,1.42197,1.71128,0.0402156,0.00664251,0.00664251
3,140.793,1.58321,1.45226,1.57792,0.60449,0.29207,0.54073,0.26076,1.37462,25.8142,1.64863,0.0102147,0.00997494,0.00997494
4,185.69,1.50638,1.31479,1.46841,0.6908,0.69598,0.77731,0.42897,1.39829,1.24255,1.55094,0.00999756,0.00999756,0.00999756
5,230.383,1.50408,1.14954,1.45897,0.6251,0.27518,0.42517,0.23609,1.49062,2.63237,1.56957,0.00999566,0.00999566,0.00999566
6,275.195,1.47597,1.02687,1.4357,0.91308,0.93525,0.97096,0.57591,1.28718,0.81024,1.41483,0.00999322,0.00999322,0.00999322
7,320.365,1.46074,0.92433,1.42728,0.8738,0.93221,0.95211,0.51862,1.36037,0.85508,1.47185,0.00999023,0.00999023,0.00999023
8,365.756,1.45705,0.86078,1.39608,0.76749,0.79913,0.86838,0.47065,1.46251,0.97312,1.51474,0.00998671,0.00998671,0.00998671
9,411.042,1.44027,0.84291,1.38706,0.92239,0.94028,0.97638,0.56819,1.3152,0.68753,1.41938,0.00998264,0.00998264,0.00998264
10,456.45,1.43487,0.79823,1.40968,0.82823,0.97901,0.95305,0.56342,1.28939,0.91602,1.40541,0.00997803,0.00997803,0.00997803
11,501.214,1.43825,0.79591,1.39889,0.87567,0.91965,0.96004,0.56325,1.33122,0.67217,1.41906,0.00997288,0.00997288,0.00997288
12,546.337,1.42468,0.75685,1.3868,0.85087,0.7177,0.8754,0.54893,1.29128,1.24319,1.39323,0.0099672,0.0099672,0.0099672
13,590.964,1.40944,0.721,1.37178,0.93232,0.94227,0.9799,0.59667,1.257,0.59179,1.36569,0.00996097,0.00996097,0.00996097
14,636.426,1.38197,0.71562,1.34768,0.89685,0.75244,0.9237,0.49235,1.48885,1.18066,1.54284,0.0099542,0.0099542,0.0099542
15,681.569,1.4241,0.73961,1.40927,0.82641,0.76503,0.88248,0.55085,1.23814,1.12622,1.35436,0.0099469,0.0099469,0.0099469
16,726.598,1.37922,0.68141,1.3773,0.96785,0.9696,0.99202,0.62504,1.21879,0.52031,1.339,0.00993906,0.00993906,0.00993906
17,772.206,1.41505,0.69609,1.37873,0.95462,0.95935,0.98951,0.60083,1.23971,0.58212,1.35358,0.00993068,0.00993068,0.00993068
18,817.334,1.38841,0.67993,1.3593,0.93426,0.95765,0.98394,0.61815,1.21559,0.54204,1.33861,0.00992177,0.00992177,0.00992177
19,863.003,1.37651,0.66303,1.35013,0.92263,0.90119,0.97336,0.6053,1.27956,0.63577,1.37726,0.00991232,0.00991232,0.00991232
20,908.554,1.37887,0.66742,1.34522,0.95432,0.97541,0.99126,0.62258,1.24258,0.51798,1.35138,0.00990234,0.00990234,0.00990234
21,952.982,1.37588,0.64668,1.35604,0.89898,0.91857,0.96599,0.58363,1.31966,0.65688,1.40679,0.00989183,0.00989183,0.00989183
22,997.633,1.33389,0.63709,1.34253,0.96233,0.97082,0.9918,0.6514,1.16668,0.49553,1.30165,0.00988079,0.00988079,0.00988079
23,1042.48,1.37177,0.64758,1.34874,0.87483,0.86507,0.93577,0.60384,1.21732,0.80713,1.33595,0.00986922,0.00986922,0.00986922
24,1087.78,1.3401,0.66091,1.33555,0.90028,0.97828,0.97129,0.63647,1.16616,0.55318,1.30047,0.00985711,0.00985711,0.00985711
25,1129.72,1.32521,0.6246,1.33775,0.96382,0.97503,0.99181,0.63741,1.20387,0.48577,1.32147,0.00984449,0.00984449,0.00984449
26,1174.44,1.29456,0.62922,1.31557,0.9678,0.97828,0.99334,0.65418,1.18937,0.49213,1.31444,0.00983133,0.00983133,0.00983133
27,1220.01,1.32344,0.6219,1.3253,0.92192,0.98722,0.97155,0.63826,1.17909,0.535,1.31258,0.00981765,0.00981765,0.00981765
28,1264.69,1.32082,0.60099,1.31667,0.97292,0.97286,0.99269,0.65131,1.18283,0.47666,1.30754,0.00980345,0.00980345,0.00980345
29,1309.37,1.3177,0.60927,1.31463,0.86289,0.98806,0.9369,0.61569,1.13956,0.57692,1.28704,0.00978873,0.00978873,0.00978873
30,1354.54,1.33493,0.61084,1.32543,0.97193,0.97611,0.99123,0.64308,1.16971,0.47251,1.30127,0.00977349,0.00977349,0.00977349
31,1398.99,1.30922,0.58453,1.32088,0.97408,0.97938,0.9925,0.67334,1.12126,0.45006,1.27827,0.00975773,0.00975773,0.00975773
32,1444.09,1.33686,0.61757,1.3504,0.96054,0.97611,0.98419,0.64932,1.14356,0.48934,1.28453,0.00974145,0.00974145,0.00974145
33,1489.44,1.30629,0.6076,1.32288,0.95389,0.96308,0.98937,0.65913,1.15707,0.48427,1.29559,0.00972466,0.00972466,0.00972466
34,1534.17,1.27975,0.59593,1.29823,0.98296,0.97828,0.994,0.67753,1.12122,0.43982,1.27369,0.00970736,0.00970736,0.00970736
35,1579,1.29921,0.59866,1.31247,0.96689,0.98154,0.99318,0.66737,1.14158,0.46145,1.28584,0.00968955,0.00968955,0.00968955
36,1623.47,1.28331,0.5818,1.29365,0.96624,0.96346,0.99118,0.67103,1.14544,0.44469,1.28364,0.00967122,0.00967122,0.00967122
37,1667.91,1.27031,0.58333,1.2861,0.97869,0.97611,0.99371,0.68331,1.09181,0.43506,1.24951,0.00965239,0.00965239,0.00965239
38,1712.82,1.2939,0.58383,1.30176,0.97627,0.98264,0.99336,0.6887,1.08869,0.43144,1.25038,0.00963306,0.00963306,0.00963306
39,1757.8,1.27996,0.58486,1.30838,0.98068,0.9772,0.9939,0.68315,1.08324,0.4162,1.24682,0.00961322,0.00961322,0.00961322
40,1802.59,1.26505,0.57915,1.29527,0.98218,0.97611,0.99376,0.68631,1.08422,0.43342,1.24379,0.00959289,0.00959289,0.00959289
41,1847.44,1.23919,0.56782,1.27121,0.97238,0.9772,0.99276,0.68565,1.08659,0.42357,1.24953,0.00957205,0.00957205,0.00957205
42,1891.98,1.27666,0.57725,1.30708,0.96586,0.98304,0.99252,0.68299,1.0749,0.4405,1.23943,0.00955072,0.00955072,0.00955072
43,1937.08,1.25732,0.57666,1.30429,0.97019,0.97394,0.99165,0.69038,1.07049,0.43766,1.23828,0.00952889,0.00952889,0.00952889
