epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.5405,2.76295,6.09018,1.95758,0.03163,0.89641,0.04853,0.02226,0.60056,2.06569,0.50978,0.0701899,0.00331224,0.00331224
2,75.1298,2.18112,2.38043,1.62374,0.51234,0.75299,0.54544,0.23162,0.5714,5.84476,0.48924,0.0401897,0.00664539,0.00664539
3,111.454,1.92689,2.04669,1.44259,0.46594,0.4502,0.37575,0.16488,0.57291,3.34327,0.53612,0.0101888,0.00997782,0.00997782
4,144.975,1.95826,1.93081,1.46139,0.59618,0.58566,0.63033,0.30349,0.5209,13.3674,0.45442,0.00999756,0.00999756,0.00999756
5,179.206,1.87438,1.63445,1.38496,0.66059,0.73666,0.76911,0.38271,0.51592,11.9765,0.44489,0.00999566,0.00999566,0.00999566
6,209.916,1.81433,1.42819,1.35136,0.6778,0.76096,0.74758,0.36482,0.51042,1.96693,0.45067,0.00999322,0.00999322,0.00999322
7,240.355,1.82619,1.45485,1.33681,0.75945,0.65737,0.7624,0.34264,0.56864,0.56095,0.46741,0.00999023,0.00999023,0.00999023
8,273.499,1.69179,1.35437,1.27263,0.87921,0.85657,0.91629,0.4571,0.50714,1.18502,0.43722,0.00998671,0.00998671,0.00998671
9,300.499,1.71084,1.23869,1.30215,0.74621,0.83267,0.84888,0.41355,0.52036,5.19504,0.44523,0.00998264,0.00998264,0.00998264
10,331.454,1.66518,1.24476,1.26832,0.84716,0.86853,0.91583,0.46194,0.50826,1.1426,0.43374,0.00997803,0.00997803,0.00997803
11,357.338,1.72737,1.16773,1.27429,0.79348,0.79601,0.87289,0.45449,0.50879,0.41166,0.43318,0.00997288,0.00997288,0.00997288
12,383.226,1.66724,1.07438,1.2767,0.81313,0.8321,0.8922,0.45507,0.48841,0.70627,0.42779,0.0099672,0.0099672,0.0099672
13,408.596,1.67521,1.03897,1.25332,0.81827,0.90837,0.86869,0.37822,0.55311,3.14261,0.45337,0.00996097,0.00996097,0.00996097
14,431.629,1.62234,1.00034,1.22959,0.82367,0.74439,0.85044,0.45825,0.50433,0.43987,0.43085,0.0099542,0.0099542,0.0099542
15,454.632,1.63517,0.9894,1.23137,0.87486,0.92032,0.91745,0.43833,0.50524,0.50193,0.42893,0.0099469,0.0099469,0.0099469
16,477.782,1.6653,1.01609,1.27575,0.89276,0.8955,0.94255,0.52291,0.46704,0.30157,0.41624,0.00993906,0.00993906,0.00993906
17,501.024,1.57183,0.92534,1.21058,0.8368,0.85799,0.89247,0.44954,0.54561,0.35996,0.44583,0.00993068,0.00993068,0.00993068
18,524.365,1.59596,0.95774,1.21837,0.86667,0.86853,0.93512,0.51309,0.46514,0.31455,0.41158,0.00992177,0.00992177,0.00992177
19,547.952,1.70692,0.94672,1.25035,0.82627,0.8716,0.88484,0.46045,0.48148,0.3243,0.41823,0.00991232,0.00991232,0.00991232
20,572.057,1.68187,0.98454,1.25521,0.91723,0.92719,0.95239,0.50318,0.48637,0.37734,0.42111,0.00990234,0.00990234,0.00990234
21,595.552,1.60001,0.93627,1.22526,0.77743,0.84064,0.86516,0.47661,0.48109,0.44403,0.4172,0.00989183,0.00989183,0.00989183
22,619.26,1.63979,0.89421,1.25502,0.92395,0.91963,0.93769,0.49506,0.48305,0.2608,0.41772,0.00988079,0.00988079,0.00988079
23,643.587,1.58754,0.88894,1.26506,0.92103,0.90438,0.9599,0.48444,0.47998,0.59188,0.41398,0.00986922,0.00986922,0.00986922
24,667.154,1.62408,0.89714,1.2367,0.94324,0.92687,0.96739,0.52876,0.49533,0.27166,0.41776,0.00985711,0.00985711,0.00985711
25,691.379,1.59532,0.89899,1.21678,0.95958,0.94594,0.9722,0.53657,0.43753,0.24393,0.40022,0.00984449,0.00984449,0.00984449
